wardIndex,wardNo,wardName,wardNo,Unemployment,Employed,totalPopulation
0,1,Colaba,1,21174,163840,185014
1,2,Sandhurst Road,2,33013,94277,127290
2,3,Marine Lines,3,22518,143643,166161
3,4,Grant Road,4,213174,133692,346866
4,5,Byculla,5,234809,158477,393286
5,6,Matunga,6,452788,76246,529034
6,7,Parel,7,224222,136750,360972
7,8,Dadar/Plaza,8,260458,117291,377749
8,9,Elphinstone,9,434518,164521,599039
9,10,Khar/Santacruz,10,221732,85849,307581
10,11,Bandra,11,522743,34496,557239
11,12,Andheri (East),12,672586,151299,823885
12,13,Andheri (West),13,678147,70541,748688
13,14,Kurla,14,813411,88814,902225
14,15,Chembur,15,738259,69461,807720
15,16,Chembur (West),16,368880,43013,411893
16,17,Ghatkopar,17,547793,75060,622853
17,18,Malad,18,851847,89519,941366
18,19,Goregaon,19,391990,71517,463507
19,20,Borivali,20,2,562160,562162
20,21,Dahisar,21,332532,98836,431368
21,22,Kandivali,22,639150,52079,691229
22,23,Bhandup,23,706862,36921,743783
23,24,Mulund,24,271857,69606,341463
