Time,primary_contact,mild_symptomatic_tested,moderate_symptomatic_tested,severe_symptomatic_tested,icu,requested_tests,cumulative_positive_cases,people_tested
0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,2,0,0
0.75,0,1,1,0,0,3,2,2
1,0,2,3,0,0,5,5,5
1.25,0,3,7,0,0,4,10,10
1.5,0,4,10,0,0,4,14,14
1.75,0,5,10,0,0,0,16,18
2,0,5,10,0,0,3,16,18
2.25,0,8,9,0,0,4,19,21
2.5,0,10,9,0,0,3,21,24
2.75,0,9,11,0,0,5,24,27
3,0,11,13,0,0,2,28,31
3.25,0,12,14,0,0,2,30,33
3.5,0,12,14,0,0,2,31,34
3.75,3572,12,12,1,0,3470,33,36
4,3572,11,12,1,0,3378,33,133
4.25,3572,10,12,1,0,3279,33,233
4.5,3572,9,11,1,0,3172,33,339
4.75,3572,9,11,1,0,3084,33,428
5,3572,9,10,1,0,2992,33,522
5.25,3571,8,10,1,0,2896,34,619
5.5,3571,7,10,1,0,2794,34,722
5.75,3571,7,10,1,0,2689,34,827
6,3571,7,10,1,0,2589,34,929
6.25,3571,6,9,1,0,2471,34,1047
6.5,3571,5,9,1,0,2367,34,1152
6.75,3571,4,9,1,0,2255,34,1264
7,3571,4,9,1,0,2165,34,1355
7.25,3571,3,9,1,0,2059,34,1463
7.5,3570,3,9,1,0,1963,35,1559
7.75,3570,4,8,1,0,1849,36,1672
8,3570,4,8,1,0,1737,36,1786
8.25,3570,4,8,1,0,1642,36,1880
8.5,3570,4,7,1,0,1542,36,1981
8.75,3569,4,7,1,0,1450,37,2075
9,3569,4,7,1,0,1354,37,2171
9.25,3569,3,7,1,0,1252,37,2272
9.5,3569,3,6,1,0,1173,37,2351
9.75,3568,4,6,1,0,1072,39,2452
10,3567,5,6,1,0,964,40,2559
10.25,3567,4,6,1,0,859,40,2664
10.5,3567,4,6,1,0,755,40,2765
10.75,3566,4,7,1,0,659,41,2861
11,3566,4,7,1,0,581,41,2938
11.25,3566,4,7,1,0,496,41,3023
11.5,3566,3,7,0,0,378,41,3141
11.75,3566,2,7,0,0,271,41,3245
12,3566,2,6,0,0,179,42,3338
12.25,3566,1,6,0,0,87,42,3430
12.5,3565,2,7,0,0,2,44,3512
12.75,3564,3,6,0,0,0,45,3512
13,3564,3,5,0,0,1,45,3512
13.25,3564,3,5,0,0,0,45,3512
13.5,3564,3,5,0,0,0,45,3512
13.75,3564,3,4,0,0,3,45,3512
14,3564,2,4,0,0,1,45,3512
14.25,3564,2,3,0,0,2,45,3512
14.5,3564,2,3,0,0,1,45,3512
14.75,3564,2,3,0,0,0,45,3512
15,3564,2,3,0,0,0,45,3512
15.25,3564,2,3,0,0,0,45,3512
15.5,3564,2,3,0,0,0,45,3512
15.75,3564,2,3,0,0,0,45,3512
16,3564,2,3,0,0,0,45,3512
16.25,3564,2,3,0,0,0,45,3512
16.5,3564,2,3,0,0,0,45,3512
16.75,3564,2,2,0,0,0,45,3512
17,3564,2,2,0,0,0,45,3512
17.25,3564,2,2,0,0,0,45,3512
17.5,3564,2,2,0,0,0,45,3512
17.75,3564,2,1,0,0,0,45,3512
18,7,2,1,0,0,0,45,3512
18.25,6,1,1,0,0,0,45,3512
18.5,6,1,1,0,0,0,45,3512
18.75,6,1,1,0,0,0,45,3512
19,5,1,1,0,0,0,45,3512
19.25,5,1,1,0,0,0,45,3512
19.5,5,1,1,0,0,0,45,3512
19.75,5,1,1,0,0,2,45,3512
20,3,1,1,0,0,0,45,3512
20.25,2,1,1,0,0,0,45,3512
20.5,2,1,1,0,0,0,45,3512
20.75,1,1,1,0,0,0,45,3512
21,1,1,1,0,0,0,45,3512
21.25,1,1,0,0,0,0,45,3512
21.5,0,1,0,0,0,0,45,3512
21.75,0,1,0,0,0,0,45,3512
22,0,1,0,0,0,0,45,3512
22.25,0,0,0,0,0,0,45,3512
22.5,0,0,0,0,0,0,45,3512
22.75,0,0,0,0,0,0,45,3512
23,0,0,0,0,0,0,45,3512
23.25,0,0,0,0,0,1,45,3512
23.5,0,0,0,0,0,1,45,3512
23.75,0,0,0,0,0,0,45,3512
24,0,0,0,0,0,0,45,3512
24.25,0,0,0,0,0,0,45,3512
24.5,0,0,0,0,0,0,45,3512
24.75,0,0,0,0,0,0,45,3512
25,0,0,0,0,0,0,45,3512
25.25,0,0,0,0,0,0,45,3512
25.5,0,0,0,0,0,0,45,3512
25.75,0,0,0,0,0,0,45,3512
26,0,0,0,0,0,1,45,3512
26.25,0,0,0,0,0,0,45,3512
26.5,0,0,0,0,0,0,45,3512
26.75,0,0,0,0,0,1,45,3512
27,0,0,0,0,0,0,45,3512
27.25,0,0,0,0,0,0,45,3512
27.5,0,0,0,0,0,0,45,3512
27.75,0,0,0,0,0,0,45,3512
28,0,0,0,0,0,0,45,3512
28.25,0,0,0,0,0,0,45,3512
28.5,0,0,0,0,0,0,45,3512
28.75,0,0,0,0,0,0,45,3512
29,0,0,0,0,0,0,45,3512
29.25,0,0,0,0,0,0,45,3512
29.5,0,0,0,0,0,0,45,3512
29.75,0,0,0,0,0,0,45,3512
30,0,0,0,0,0,0,45,3512
