Time,num_affected
0,100
0.25,100
0.5,100
0.75,100
1,100
1.25,101
1.5,103
1.75,103
2,103
2.25,103
2.5,103
2.75,103
3,103
3.25,104
3.5,104
3.75,104
4,104
4.25,105
4.5,105
4.75,105
5,109
5.25,109
5.5,109
5.75,110
6,110
6.25,110
6.5,110
6.75,110
7,110
7.25,110
7.5,110
7.75,111
8,114
8.25,114
8.5,114
8.75,114
9,114
9.25,115
9.5,116
9.75,116
10,117
10.25,118
10.5,118
10.75,118
11,119
11.25,120
11.5,120
11.75,120
12,120
12.25,120
12.5,122
12.75,122
13,122
13.25,122
13.5,123
13.75,125
14,126
14.25,126
14.5,127
14.75,127
15,127
15.25,127
15.5,127
15.75,128
16,129
16.25,129
16.5,130
16.75,132
17,132
17.25,133
17.5,134
17.75,134
18,135
18.25,135
18.5,135
18.75,135
19,135
19.25,136
19.5,136
19.75,137
20,138
20.25,139
20.5,140
20.75,140
21,141
21.25,141
21.5,141
21.75,141
22,142
22.25,142
22.5,142
22.75,142
23,142
23.25,143
23.5,143
23.75,143
24,145
24.25,145
24.5,145
24.75,147
25,147
25.25,147
25.5,147
25.75,147
26,147
26.25,147
26.5,147
26.75,147
27,147
27.25,147
27.5,148
27.75,148
28,148
28.25,148
28.5,148
28.75,148
29,149
29.25,149
29.5,149
29.75,150
30,150
30.25,150
30.5,150
30.75,151
31,151
31.25,151
31.5,151
31.75,152
32,152
32.25,153
32.5,153
32.75,153
33,153
33.25,153
33.5,153
33.75,153
34,153
34.25,153
34.5,153
34.75,154
35,154
35.25,154
35.5,155
35.75,155
36,155
36.25,155
36.5,155
36.75,155
37,156
37.25,156
37.5,157
37.75,157
38,157
38.25,157
38.5,157
38.75,157
39,157
39.25,157
39.5,157
39.75,157
40,157
40.25,157
40.5,157
40.75,157
41,157
41.25,157
41.5,157
41.75,157
42,157
42.25,157
42.5,157
42.75,157
43,157
43.25,157
43.5,157
43.75,158
44,158
44.25,158
44.5,159
44.75,159
45,159
45.25,159
45.5,159
45.75,159
46,159
46.25,159
46.5,159
46.75,159
47,159
47.25,159
47.5,159
47.75,159
48,159
48.25,159
48.5,159
48.75,159
49,159
49.25,159
49.5,159
49.75,159
50,159
50.25,159
50.5,159
50.75,159
51,159
51.25,159
51.5,159
51.75,159
52,159
52.25,159
52.5,159
52.75,159
53,159
53.25,159
53.5,159
53.75,159
54,159
54.25,159
54.5,159
54.75,159
55,159
55.25,159
55.5,159
55.75,159
56,159
56.25,159
56.5,159
56.75,159
57,159
57.25,159
57.5,159
57.75,159
58,159
58.25,159
58.5,159
58.75,159
59,159
59.25,159
59.5,159
59.75,159
60,159
60.25,159
60.5,159
60.75,159
61,159
61.25,159
61.5,159
61.75,159
62,159
62.25,159
62.5,159
62.75,159
63,159
63.25,159
63.5,159
63.75,159
64,159
64.25,159
64.5,159
64.75,159
65,159
65.25,159
65.5,159
65.75,159
66,159
66.25,159
66.5,159
66.75,159
67,159
67.25,159
67.5,159
67.75,159
68,159
68.25,159
68.5,159
68.75,159
69,159
69.25,159
69.5,159
69.75,159
70,159
70.25,159
70.5,159
70.75,159
71,159
71.25,159
71.5,159
71.75,159
72,159
72.25,159
72.5,159
72.75,159
73,159
73.25,159
73.5,159
73.75,159
74,159
74.25,159
74.5,159
74.75,159
75,159
75.25,159
75.5,159
75.75,159
76,159
76.25,159
76.5,159
76.75,159
77,159
77.25,159
77.5,159
77.75,159
78,159
78.25,159
78.5,159
78.75,159
79,159
79.25,159
79.5,159
79.75,159
80,159
80.25,159
80.5,159
80.75,159
81,159
81.25,159
81.5,159
81.75,159
82,159
82.25,159
82.5,159
82.75,159
83,159
83.25,159
83.5,159
83.75,159
84,159
84.25,159
84.5,159
84.75,159
85,159
85.25,159
85.5,159
85.75,159
86,159
86.25,159
86.5,159
86.75,159
87,159
87.25,159
87.5,159
87.75,159
88,159
88.25,159
88.5,159
88.75,159
89,159
89.25,159
89.5,159
89.75,159
90,159
90.25,159
90.5,159
90.75,159
91,159
91.25,159
91.5,159
91.75,159
92,159
92.25,159
92.5,159
92.75,159
93,159
93.25,159
93.5,159
93.75,159
94,159
94.25,159
94.5,159
94.75,159
95,159
95.25,159
95.5,159
95.75,159
96,159
96.25,159
96.5,159
96.75,159
97,159
97.25,159
97.5,159
97.75,159
98,159
98.25,159
98.5,159
98.75,159
99,159
99.25,159
99.5,159
99.75,159
100,159
100.25,159
100.5,159
100.75,159
101,159
101.25,159
101.5,159
101.75,159
102,159
102.25,159
102.5,159
102.75,159
103,159
103.25,159
103.5,159
103.75,159
104,159
104.25,159
104.5,159
104.75,159
105,159
105.25,159
105.5,159
105.75,159
106,159
106.25,159
106.5,159
106.75,159
107,159
107.25,159
107.5,159
107.75,159
108,159
108.25,159
108.5,159
108.75,159
109,159
109.25,159
109.5,159
109.75,159
110,159
110.25,159
110.5,159
110.75,159
111,159
111.25,159
111.5,159
111.75,159
112,159
112.25,159
112.5,159
112.75,159
113,159
113.25,159
113.5,159
113.75,159
114,159
114.25,159
114.5,159
114.75,159
115,159
115.25,159
115.5,159
115.75,159
116,159
116.25,159
116.5,159
116.75,159
117,159
117.25,159
117.5,159
117.75,159
118,159
118.25,159
118.5,159
118.75,159
119,159
119.25,159
119.5,159
119.75,159
