Time,num_recovered
0,0
0.25,0
0.5,3
0.75,6
1,7
1.25,9
1.5,15
1.75,16
2,18
2.25,19
2.5,20
2.75,23
3,28
3.25,33
3.5,36
3.75,41
4,42
4.25,43
4.5,46
4.75,48
5,50
5.25,51
5.5,52
5.75,54
6,57
6.25,60
6.5,60
6.75,61
7,63
7.25,64
7.5,67
7.75,68
8,69
8.25,71
8.5,72
8.75,76
9,78
9.25,79
9.5,80
9.75,81
10,82
10.25,83
10.5,83
10.75,84
11,85
11.25,88
11.5,88
11.75,89
12,90
12.25,91
12.5,92
12.75,93
13,94
13.25,94
13.5,96
13.75,97
14,98
14.25,98
14.5,99
14.75,101
15,101
15.25,101
15.5,104
15.75,104
16,104
16.25,105
16.5,105
16.75,106
17,106
17.25,107
17.5,107
17.75,108
18,109
18.25,109
18.5,109
18.75,111
19,112
19.25,113
19.5,114
19.75,114
20,115
20.25,115
20.5,116
20.75,116
21,118
21.25,118
21.5,118
21.75,118
22,120
22.25,120
22.5,121
22.75,122
23,122
23.25,123
23.5,123
23.75,124
24,124
24.25,124
24.5,124
24.75,125
25,125
25.25,125
25.5,125
25.75,126
26,127
26.25,128
26.5,129
26.75,129
27,130
27.25,130
27.5,131
27.75,132
28,132
28.25,132
28.5,133
28.75,133
29,133
29.25,133
29.5,133
29.75,135
30,135
30.25,136
30.5,136
30.75,138
31,138
31.25,138
31.5,139
31.75,140
32,142
32.25,142
32.5,142
32.75,143
33,143
33.25,143
33.5,144
33.75,144
34,144
34.25,144
34.5,144
34.75,144
35,144
35.25,144
35.5,144
35.75,145
36,146
36.25,147
36.5,147
36.75,147
37,147
37.25,147
37.5,147
37.75,149
38,149
38.25,149
38.5,149
38.75,149
39,149
39.25,149
39.5,149
39.75,149
40,150
40.25,150
40.5,151
40.75,151
41,151
41.25,152
41.5,152
41.75,152
42,152
42.25,152
42.5,152
42.75,152
43,152
43.25,152
43.5,152
43.75,152
44,153
44.25,153
44.5,153
44.75,153
45,154
45.25,154
45.5,154
45.75,155
46,156
46.25,156
46.5,156
46.75,156
47,156
47.25,156
47.5,156
47.75,156
48,156
48.25,156
48.5,156
48.75,156
49,156
49.25,156
49.5,156
49.75,156
50,157
50.25,157
50.5,157
50.75,157
51,157
51.25,157
51.5,157
51.75,157
52,157
52.25,157
52.5,157
52.75,157
53,157
53.25,157
53.5,157
53.75,157
54,157
54.25,157
54.5,157
54.75,157
55,157
55.25,157
55.5,157
55.75,157
56,157
56.25,157
56.5,157
56.75,157
57,157
57.25,157
57.5,157
57.75,157
58,157
58.25,157
58.5,157
58.75,157
59,157
59.25,157
59.5,157
59.75,158
60,158
60.25,158
60.5,158
60.75,158
61,158
61.25,158
61.5,159
61.75,159
62,159
62.25,159
62.5,159
62.75,159
63,159
63.25,159
63.5,159
63.75,159
64,159
64.25,159
64.5,159
64.75,159
65,159
65.25,159
65.5,159
65.75,159
66,159
66.25,159
66.5,159
66.75,159
67,159
67.25,159
67.5,159
67.75,159
68,159
68.25,159
68.5,159
68.75,159
69,159
69.25,159
69.5,159
69.75,159
70,159
70.25,159
70.5,159
70.75,159
71,159
71.25,159
71.5,159
71.75,159
72,159
72.25,159
72.5,159
72.75,159
73,159
73.25,159
73.5,159
73.75,159
74,159
74.25,159
74.5,159
74.75,159
75,159
75.25,159
75.5,159
75.75,159
76,159
76.25,159
76.5,159
76.75,159
77,159
77.25,159
77.5,159
77.75,159
78,159
78.25,159
78.5,159
78.75,159
79,159
79.25,159
79.5,159
79.75,159
80,159
80.25,159
80.5,159
80.75,159
81,159
81.25,159
81.5,159
81.75,159
82,159
82.25,159
82.5,159
82.75,159
83,159
83.25,159
83.5,159
83.75,159
84,159
84.25,159
84.5,159
84.75,159
85,159
85.25,159
85.5,159
85.75,159
86,159
86.25,159
86.5,159
86.75,159
87,159
87.25,159
87.5,159
87.75,159
88,159
88.25,159
88.5,159
88.75,159
89,159
89.25,159
89.5,159
89.75,159
90,159
90.25,159
90.5,159
90.75,159
91,159
91.25,159
91.5,159
91.75,159
92,159
92.25,159
92.5,159
92.75,159
93,159
93.25,159
93.5,159
93.75,159
94,159
94.25,159
94.5,159
94.75,159
95,159
95.25,159
95.5,159
95.75,159
96,159
96.25,159
96.5,159
96.75,159
97,159
97.25,159
97.5,159
97.75,159
98,159
98.25,159
98.5,159
98.75,159
99,159
99.25,159
99.5,159
99.75,159
100,159
100.25,159
100.5,159
100.75,159
101,159
101.25,159
101.5,159
101.75,159
102,159
102.25,159
102.5,159
102.75,159
103,159
103.25,159
103.5,159
103.75,159
104,159
104.25,159
104.5,159
104.75,159
105,159
105.25,159
105.5,159
105.75,159
106,159
106.25,159
106.5,159
106.75,159
107,159
107.25,159
107.5,159
107.75,159
108,159
108.25,159
108.5,159
108.75,159
109,159
109.25,159
109.5,159
109.75,159
110,159
110.25,159
110.5,159
110.75,159
111,159
111.25,159
111.5,159
111.75,159
112,159
112.25,159
112.5,159
112.75,159
113,159
113.25,159
113.5,159
113.75,159
114,159
114.25,159
114.5,159
114.75,159
115,159
115.25,159
115.5,159
115.75,159
116,159
116.25,159
116.5,159
116.75,159
117,159
117.25,159
117.5,159
117.75,159
118,159
118.25,159
118.5,159
118.75,159
119,159
119.25,159
119.5,159
119.75,159
