Time,num_symptomatic
0,0
0.25,0
0.5,0
0.75,3
1,8
1.25,16
1.5,20
1.75,26
2,32
2.25,33
2.5,36
2.75,36
3,34
3.25,35
3.5,38
3.75,38
4,38
4.25,39
4.5,38
4.75,39
5,38
5.25,38
5.5,37
5.75,37
6,36
6.25,34
6.5,36
6.75,35
7,35
7.25,35
7.5,33
7.75,32
8,31
8.25,30
8.5,29
8.75,27
9,26
9.25,25
9.5,26
9.75,25
10,24
10.25,23
10.5,23
10.75,23
11,23
11.25,22
11.5,22
11.75,22
12,21
12.25,20
12.5,20
12.75,19
13,18
13.25,18
13.5,17
13.75,17
14,17
14.25,17
14.5,16
14.75,16
15,16
15.25,16
15.5,14
15.75,14
16,14
16.25,14
16.5,15
16.75,14
17,14
17.25,14
17.5,14
17.75,15
18,16
18.25,17
18.5,17
18.75,15
19,14
19.25,13
19.5,13
19.75,13
20,13
20.25,13
20.5,12
20.75,12
21,12
21.25,12
21.5,12
21.75,12
22,10
22.25,10
22.5,10
22.75,10
23,11
23.25,10
23.5,11
23.75,10
24,10
24.25,11
24.5,11
24.75,11
25,12
25.25,12
25.5,12
25.75,12
26,12
26.25,13
26.5,12
26.75,12
27,11
27.25,12
27.5,11
27.75,10
28,10
28.25,10
28.5,11
28.75,11
29,11
29.25,11
29.5,11
29.75,10
30,10
30.25,10
30.5,10
30.75,8
31,8
31.25,8
31.5,7
31.75,6
32,4
32.25,4
32.5,4
32.75,4
33,5
33.25,5
33.5,5
33.75,5
34,5
34.25,5
34.5,6
34.75,7
35,7
35.25,7
35.5,7
35.75,6
36,5
36.25,5
36.5,5
36.75,5
37,6
37.25,6
37.5,6
37.75,4
38,4
38.25,4
38.5,4
38.75,4
39,4
39.25,4
39.5,4
39.75,5
40,4
40.25,4
40.5,3
40.75,4
41,4
41.25,3
41.5,3
41.75,3
42,3
42.25,3
42.5,3
42.75,3
43,3
43.25,3
43.5,3
43.75,3
44,2
44.25,2
44.5,2
44.75,2
45,1
45.25,1
45.5,2
45.75,2
46,2
46.25,2
46.5,2
46.75,2
47,2
47.25,2
47.5,2
47.75,2
48,2
48.25,2
48.5,2
48.75,2
49,2
49.25,2
49.5,2
49.75,2
50,1
50.25,1
50.5,1
50.75,1
51,1
51.25,2
51.5,2
51.75,2
52,2
52.25,2
52.5,2
52.75,2
53,2
53.25,2
53.5,2
53.75,2
54,2
54.25,2
54.5,2
54.75,2
55,2
55.25,2
55.5,2
55.75,2
56,2
56.25,2
56.5,2
56.75,2
57,2
57.25,2
57.5,2
57.75,2
58,2
58.25,2
58.5,2
58.75,2
59,2
59.25,2
59.5,2
59.75,1
60,1
60.25,1
60.5,1
60.75,1
61,1
61.25,1
61.5,0
61.75,0
62,0
62.25,0
62.5,0
62.75,0
63,0
63.25,0
63.5,0
63.75,0
64,0
64.25,0
64.5,0
64.75,0
65,0
65.25,0
65.5,0
65.75,0
66,0
66.25,0
66.5,0
66.75,0
67,0
67.25,0
67.5,0
67.75,0
68,0
68.25,0
68.5,0
68.75,0
69,0
69.25,0
69.5,0
69.75,0
70,0
70.25,0
70.5,0
70.75,0
71,0
71.25,0
71.5,0
71.75,0
72,0
72.25,0
72.5,0
72.75,0
73,0
73.25,0
73.5,0
73.75,0
74,0
74.25,0
74.5,0
74.75,0
75,0
75.25,0
75.5,0
75.75,0
76,0
76.25,0
76.5,0
76.75,0
77,0
77.25,0
77.5,0
77.75,0
78,0
78.25,0
78.5,0
78.75,0
79,0
79.25,0
79.5,0
79.75,0
80,0
80.25,0
80.5,0
80.75,0
81,0
81.25,0
81.5,0
81.75,0
82,0
82.25,0
82.5,0
82.75,0
83,0
83.25,0
83.5,0
83.75,0
84,0
84.25,0
84.5,0
84.75,0
85,0
85.25,0
85.5,0
85.75,0
86,0
86.25,0
86.5,0
86.75,0
87,0
87.25,0
87.5,0
87.75,0
88,0
88.25,0
88.5,0
88.75,0
89,0
89.25,0
89.5,0
89.75,0
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0
91.5,0
91.75,0
92,0
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0
98.5,0
98.75,0
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
