Time,num_tested_positive
0,0
0.25,0
0.5,0
0.75,1
1,3
1.25,7
1.5,8
1.75,11
2,14
2.25,17
2.5,22
2.75,27
3,31
3.25,39
3.5,44
3.75,51
4,58
4.25,70
4.5,75
4.75,79
5,83
5.25,91
5.5,103
5.75,110
6,129
6.25,140
6.5,159
6.75,177
7,190
7.25,208
7.5,223
7.75,240
8,257
8.25,281
8.5,300
8.75,327
9,347
9.25,374
9.5,397
9.75,426
10,456
10.25,484
10.5,506
10.75,535
11,567
11.25,590
11.5,627
11.75,663
12,690
12.25,724
12.5,752
12.75,790
13,816
13.25,855
13.5,894
13.75,941
14,980
14.25,1018
14.5,1075
14.75,1116
15,1150
15.25,1192
15.5,1227
15.75,1569
16,1582
16.25,1599
16.5,1625
16.75,1650
17,1678
17.25,1705
17.5,1726
17.75,1762
18,1795
18.25,1829
18.5,1856
18.75,1880
19,1909
19.25,1933
19.5,1954
19.75,1974
20,2000
20.25,2024
20.5,2038
20.75,2061
21,2084
21.25,2096
21.5,2109
21.75,2123
22,2141
22.25,2150
22.5,2164
22.75,2175
23,2182
23.25,2191
23.5,2202
23.75,2211
24,2217
24.25,2219
24.5,2232
24.75,2240
25,2253
25.25,2257
25.5,2260
25.75,2265
26,2273
26.25,2281
26.5,2362
26.75,2370
27,2372
27.25,2373
27.5,2375
27.75,2376
28,2380
28.25,2383
28.5,2385
28.75,2386
29,2389
29.25,2390
29.5,2392
29.75,2393
30,2394
30.25,2396
30.5,2399
30.75,2401
31,2402
31.25,2404
31.5,2407
31.75,2409
32,2411
32.25,2411
32.5,2413
32.75,2417
33,2418
33.25,2418
33.5,2419
33.75,2419
34,2421
34.25,2422
34.5,2422
34.75,2423
35,2424
35.25,2425
35.5,2426
35.75,2426
36,2427
36.25,2429
36.5,2429
36.75,2430
37,2430
37.25,2431
37.5,2432
37.75,2432
38,2432
38.25,2433
38.5,2433
38.75,2434
39,2434
39.25,2434
39.5,2434
39.75,2434
40,2435
40.25,2435
40.5,2435
40.75,2435
41,2435
41.25,2435
41.5,2435
41.75,2435
42,2435
42.25,2435
42.5,2435
42.75,2435
43,2436
43.25,2436
43.5,2436
43.75,2436
44,2436
44.25,2436
44.5,2436
44.75,2436
45,2436
45.25,2436
45.5,2436
45.75,2436
46,2436
46.25,2436
46.5,2436
46.75,2436
47,2436
47.25,2436
47.5,2436
47.75,2438
48,2438
48.25,2438
48.5,2438
48.75,2440
49,2441
49.25,2441
49.5,2443
49.75,2443
50,2444
50.25,2447
50.5,2448
50.75,2448
51,2448
51.25,2449
51.5,2449
51.75,2449
52,2453
52.25,2453
52.5,2454
52.75,2455
53,2457
53.25,2461
53.5,2463
53.75,2465
54,2465
54.25,2467
54.5,2468
54.75,2471
55,2472
55.25,2472
55.5,2473
55.75,2473
56,2474
56.25,2475
56.5,2475
56.75,2476
57,2477
57.25,2478
57.5,2479
57.75,2480
58,2482
58.25,2482
58.5,2482
58.75,2482
59,2483
59.25,2483
59.5,2483
59.75,2483
60,2483
60.25,2486
60.5,2486
60.75,2487
61,2487
61.25,2488
61.5,2488
61.75,2488
62,2488
62.25,2488
62.5,2490
62.75,2490
63,2490
63.25,2491
63.5,2491
63.75,2491
64,2491
64.25,2491
64.5,2491
64.75,2491
65,2491
65.25,2491
65.5,2491
65.75,2491
66,2491
66.25,2492
66.5,2492
66.75,2492
67,2492
67.25,2492
67.5,2492
67.75,2492
68,2493
68.25,2493
68.5,2493
68.75,2493
69,2493
69.25,2493
69.5,2493
69.75,2494
70,2495
70.25,2495
70.5,2495
70.75,2495
71,2495
71.25,2495
71.5,2495
71.75,2495
72,2495
72.25,2495
72.5,2495
72.75,2495
73,2495
73.25,2495
73.5,2495
73.75,2495
74,2495
74.25,2495
74.5,2495
74.75,2495
75,2495
75.25,2495
75.5,2495
75.75,2495
76,2495
76.25,2495
76.5,2495
76.75,2495
77,2495
77.25,2495
77.5,2495
77.75,2495
78,2495
78.25,2495
78.5,2495
78.75,2495
79,2495
79.25,2495
79.5,2495
79.75,2495
80,2495
80.25,2495
80.5,2495
80.75,2495
81,2495
81.25,2495
81.5,2495
81.75,2495
82,2495
82.25,2495
