Time,num_affected
0,100
0.25,100
0.5,104
0.75,117
1,130
1.25,146
1.5,154
1.75,158
2,178
2.25,189
2.5,205
2.75,227
3,254
3.25,268
3.5,286
3.75,314
4,338
4.25,374
4.5,429
4.75,489
5,539
5.25,599
5.5,651
5.75,703
6,766
6.25,818
6.5,888
6.75,954
7,1030
7.25,1129
7.5,1213
7.75,1302
8,1398
8.25,1482
8.5,1574
8.75,1651
9,1731
9.25,1827
9.5,1915
9.75,1996
10,2079
10.25,2161
10.5,2252
10.75,2359
11,2453
11.25,2553
11.5,2624
11.75,2698
12,2766
12.25,2834
12.5,2927
12.75,3004
13,3138
13.25,3239
13.5,3314
13.75,3389
14,3455
14.25,3521
14.5,3718
14.75,3845
15,3920
15.25,3969
15.5,4000
15.75,4030
16,4064
16.25,4102
16.5,4128
16.75,4172
17,4211
17.25,4236
17.5,4256
17.75,4275
18,4290
18.25,4301
18.5,4321
18.75,4336
19,4351
19.25,4364
19.5,4367
19.75,4372
20,4376
20.25,4383
20.5,4386
20.75,4389
21,4392
21.25,4396
21.5,4400
21.75,4403
22,4404
22.25,4411
22.5,4413
22.75,4416
23,4420
23.25,4421
23.5,4424
23.75,4426
24,4427
24.25,4428
24.5,4432
24.75,4436
25,4436
25.25,4436
25.5,4439
25.75,4440
26,4441
26.25,4443
26.5,4443
26.75,4444
27,4445
27.25,4445
27.5,4445
27.75,4445
28,4446
28.25,4447
28.5,4447
28.75,4448
29,4448
29.25,4448
29.5,4448
29.75,4448
30,4448
30.25,4448
30.5,4448
30.75,4448
31,4448
31.25,4448
31.5,4448
31.75,4448
32,4448
32.25,4448
32.5,4448
32.75,4448
33,4448
33.25,4449
33.5,4449
33.75,4449
34,4449
34.25,4449
34.5,4449
34.75,4449
35,4452
35.25,4452
35.5,4452
35.75,4452
36,4452
36.25,4452
36.5,4452
36.75,4452
37,4452
37.25,4452
37.5,4452
37.75,4452
38,4452
38.25,4452
38.5,4452
38.75,4452
39,4452
39.25,4452
39.5,4452
39.75,4452
40,4452
40.25,4452
40.5,4452
40.75,4452
41,4452
41.25,4452
41.5,4452
41.75,4452
42,4452
42.25,4452
42.5,4452
42.75,4452
43,4452
43.25,4452
43.5,4452
43.75,4452
44,4452
44.25,4452
44.5,4452
44.75,4452
45,4452
45.25,4452
45.5,4452
45.75,4452
46,4452
46.25,4452
46.5,4452
46.75,4452
47,4452
47.25,4452
47.5,4452
47.75,4452
48,4452
48.25,4452
48.5,4452
48.75,4452
49,4452
49.25,4452
49.5,4452
49.75,4452
50,4452
50.25,4452
50.5,4452
50.75,4452
51,4452
51.25,4452
51.5,4452
51.75,4452
52,4452
52.25,4452
52.5,4452
52.75,4452
53,4452
53.25,4452
53.5,4452
53.75,4452
54,4452
54.25,4452
54.5,4452
54.75,4452
55,4452
55.25,4452
55.5,4452
55.75,4452
56,4452
56.25,4452
56.5,4452
56.75,4452
57,4452
57.25,4452
57.5,4452
57.75,4452
58,4452
58.25,4452
58.5,4452
58.75,4452
59,4452
59.25,4452
59.5,4452
59.75,4452
60,4452
60.25,4452
60.5,4452
60.75,4452
61,4452
61.25,4452
61.5,4452
61.75,4452
62,4452
62.25,4452
62.5,4452
62.75,4452
63,4452
63.25,4452
63.5,4452
63.75,4452
64,4452
64.25,4452
64.5,4452
64.75,4452
65,4452
65.25,4452
65.5,4452
65.75,4452
66,4452
66.25,4452
66.5,4452
66.75,4452
67,4452
67.25,4452
67.5,4452
67.75,4452
68,4452
68.25,4452
68.5,4452
68.75,4452
69,4452
69.25,4452
69.5,4452
69.75,4452
70,4452
70.25,4452
70.5,4452
70.75,4452
71,4452
71.25,4452
71.5,4452
71.75,4452
72,4452
72.25,4452
72.5,4452
72.75,4452
73,4452
73.25,4452
73.5,4452
73.75,4452
74,4452
74.25,4452
74.5,4452
74.75,4452
75,4452
75.25,4452
75.5,4452
75.75,4452
76,4452
76.25,4452
76.5,4452
76.75,4452
77,4452
77.25,4452
77.5,4452
77.75,4452
78,4452
78.25,4452
78.5,4452
78.75,4452
79,4452
79.25,4452
79.5,4452
79.75,4452
80,4452
80.25,4452
80.5,4452
80.75,4452
81,4452
81.25,4452
81.5,4452
81.75,4452
82,4452
82.25,4452
82.5,4452
82.75,4452
83,4452
83.25,4452
83.5,4452
83.75,4452
84,4452
84.25,4452
84.5,4452
84.75,4452
85,4452
85.25,4452
85.5,4452
85.75,4452
86,4452
86.25,4452
86.5,4452
86.75,4452
87,4452
87.25,4452
87.5,4452
87.75,4452
88,4452
88.25,4452
88.5,4452
88.75,4452
89,4452
89.25,4452
89.5,4452
89.75,4452
90,4452
90.25,4452
90.5,4452
90.75,4452
91,4452
91.25,4452
91.5,4452
91.75,4452
92,4452
92.25,4452
92.5,4452
92.75,4452
93,4452
93.25,4452
93.5,4452
93.75,4452
94,4452
94.25,4452
94.5,4452
94.75,4452
95,4452
95.25,4452
95.5,4452
95.75,4452
96,4452
96.25,4452
96.5,4452
96.75,4452
97,4452
97.25,4452
97.5,4452
97.75,4452
98,4452
98.25,4452
98.5,4452
98.75,4452
99,4452
99.25,4452
99.5,4452
99.75,4452
100,4452
100.25,4452
100.5,4452
100.75,4452
101,4452
101.25,4452
101.5,4452
101.75,4452
102,4452
102.25,4452
102.5,4452
102.75,4452
103,4452
103.25,4452
103.5,4452
103.75,4452
104,4452
104.25,4452
104.5,4452
104.75,4452
105,4452
105.25,4452
105.5,4452
105.75,4452
106,4452
106.25,4452
106.5,4452
106.75,4452
107,4452
107.25,4452
107.5,4452
107.75,4452
108,4452
108.25,4452
108.5,4452
108.75,4452
109,4452
109.25,4452
109.5,4452
109.75,4452
110,4452
110.25,4452
110.5,4452
110.75,4452
111,4452
111.25,4452
111.5,4452
111.75,4452
112,4452
112.25,4452
112.5,4452
112.75,4452
113,4452
113.25,4452
113.5,4452
113.75,4452
114,4452
114.25,4452
114.5,4452
114.75,4452
115,4452
115.25,4452
115.5,4452
115.75,4452
116,4452
116.25,4452
116.5,4452
116.75,4452
117,4452
117.25,4452
117.5,4452
117.75,4452
118,4452
118.25,4452
118.5,4452
118.75,4452
119,4452
119.25,4452
119.5,4452
119.75,4452
