Time,num_cases
0,0
0.25,0
0.5,4
0.75,6
1,15
1.25,3
1.5,3
1.75,6
2,4
2.25,2
2.5,7
2.75,4
3,1
3.25,5
3.5,7
3.75,3
4,2
4.25,3
4.5,2
4.75,4
5,3
5.25,4
5.5,2
5.75,3
6,4
6.25,3
6.5,1
6.75,5
7,6
7.25,2
7.5,4
7.75,4
8,3
8.25,5
8.5,3
8.75,6
9,5
9.25,5
9.5,8
9.75,3
10,8
10.25,6
10.5,5
10.75,2
11,10
11.25,6
11.5,8
11.75,8
12,6
12.25,2
12.5,5
12.75,6
13,4
13.25,4
13.5,6
13.75,8
14,6
14.25,11
14.5,10
14.75,9
15,7
15.25,7
15.5,2
15.75,11
16,10
16.25,9
16.5,9
16.75,11
17,9
17.25,8
17.5,4
17.75,10
18,8
18.25,14
18.5,14
18.75,9
19,9
19.25,9
19.5,11
19.75,9
20,13
20.25,10
20.5,13
20.75,18
21,11
21.25,11
21.5,16
21.75,17
22,20
22.25,11
22.5,14
22.75,17
23,14
23.25,15
23.5,19
23.75,7
24,17
24.25,18
24.5,17
24.75,11
25,18
25.25,13
25.5,15
25.75,24
26,14
26.25,17
26.5,15
26.75,11
27,11
27.25,23
27.5,12
27.75,22
28,15
28.25,12
28.5,23
28.75,12
29,13
29.25,10
29.5,16
29.75,14
30,13
30.25,21
30.5,12
30.75,21
31,15
31.25,12
31.5,24
31.75,10
32,24
32.25,24
32.5,16
32.75,14
33,26
33.25,18
33.5,16
33.75,15
34,12
34.25,14
34.5,22
34.75,22
35,16
35.25,11
35.5,12
35.75,11
36,17
36.25,14
36.5,17
36.75,26
37,14
37.25,15
37.5,14
37.75,16
38,14
38.25,18
38.5,13
38.75,14
39,24
39.25,19
39.5,9
39.75,21
40,18
40.25,10
40.5,14
40.75,16
41,10
41.25,11
41.5,12
41.75,18
42,13
42.25,16
42.5,17
42.75,14
43,15
43.25,12
43.5,12
43.75,12
44,8
44.25,16
44.5,15
44.75,11
45,11
45.25,8
45.5,13
45.75,5
46,10
46.25,3
46.5,13
46.75,9
47,7
47.25,14
47.5,11
47.75,10
48,9
48.25,9
48.5,11
48.75,5
49,4
49.25,9
49.5,6
49.75,10
50,6
50.25,13
50.5,7
50.75,10
51,9
51.25,9
51.5,5
51.75,8
52,9
52.25,6
52.5,0
52.75,7
53,11
53.25,8
53.5,10
53.75,8
54,3
54.25,4
54.5,7
54.75,4
55,7
55.25,4
55.5,7
55.75,6
56,6
56.25,7
56.5,5
56.75,4
57,3
57.25,8
57.5,8
57.75,3
58,3
58.25,3
58.5,7
58.75,4
59,6
59.25,2
59.5,2
59.75,6
60,3
60.25,5
60.5,4
60.75,3
61,2
61.25,2
61.5,2
61.75,1
62,6
62.25,5
62.5,3
62.75,2
63,6
63.25,3
63.5,4
63.75,4
64,5
64.25,3
64.5,4
64.75,4
65,6
65.25,3
65.5,3
65.75,3
66,4
66.25,3
66.5,1
66.75,3
67,0
67.25,7
67.5,2
67.75,2
68,2
68.25,1
68.5,1
68.75,1
69,4
69.25,2
69.5,1
69.75,3
70,3
70.25,0
70.5,1
70.75,3
71,2
71.25,5
71.5,0
71.75,0
72,3
72.25,0
72.5,1
72.75,4
73,3
73.25,0
73.5,0
73.75,1
74,0
74.25,1
74.5,0
74.75,1
75,4
75.25,2
75.5,0
75.75,0
76,1
76.25,0
76.5,1
76.75,1
77,0
77.25,3
77.5,0
77.75,2
78,0
78.25,0
78.5,0
78.75,1
79,1
79.25,0
79.5,1
79.75,0
80,1
80.25,0
80.5,2
80.75,1
81,1
81.25,0
81.5,1
81.75,0
82,0
82.25,0
82.5,1
82.75,0
83,0
83.25,0
83.5,2
83.75,0
84,0
84.25,1
84.5,0
84.75,0
85,0
85.25,0
85.5,1
85.75,2
86,2
86.25,0
86.5,0
86.75,0
87,1
87.25,0
87.5,0
87.75,0
88,0
88.25,0
88.5,1
88.75,0
89,0
89.25,0
89.5,0
89.75,0
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0
91.5,0
91.75,1
92,0
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,1
97.75,0
98,0
98.25,0
98.5,0
98.75,0
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,2
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,1
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
