Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
30,0
30.25,0
30.5,0
30.75,0
31,0
31.25,0
31.5,0
31.75,0
32,0
32.25,0
32.5,0
32.75,0
33,0
33.25,0
33.5,0
33.75,0
34,0
34.25,0
34.5,0
34.75,0
35,0
35.25,0
35.5,0
35.75,0
36,0
36.25,0
36.5,0
36.75,0
37,0
37.25,0
37.5,0
37.75,1
38,1
38.25,1
38.5,1
38.75,1
39,1
39.25,1
39.5,1
39.75,1
40,1
40.25,1
40.5,1
40.75,1
41,1
41.25,1
41.5,1
41.75,1
42,1
42.25,1
42.5,1
42.75,1
43,1
43.25,1
43.5,1
43.75,1
44,1
44.25,1
44.5,1
44.75,1
45,1
45.25,1
45.5,1
45.75,1
46,1
46.25,1
46.5,1
46.75,1
47,1
47.25,1
47.5,1
47.75,1
48,1
48.25,1
48.5,1
48.75,1
49,1
49.25,1
49.5,1
49.75,1
50,1
50.25,1
50.5,1
50.75,1
51,1
51.25,1
51.5,1
51.75,1
52,1
52.25,1
52.5,1
52.75,1
53,1
53.25,1
53.5,1
53.75,1
54,1
54.25,1
54.5,1
54.75,1
55,1
55.25,1
55.5,1
55.75,1
56,1
56.25,1
56.5,1
56.75,1
57,1
57.25,1
57.5,1
57.75,1
58,1
58.25,1
58.5,1
58.75,2
59,2
59.25,2
59.5,2
59.75,2
60,2
60.25,2
60.5,2
60.75,2
61,2
61.25,2
61.5,2
61.75,2
62,2
62.25,2
62.5,2
62.75,2
63,2
63.25,2
63.5,2
63.75,2
64,2
64.25,2
64.5,2
64.75,2
65,2
65.25,2
65.5,2
65.75,2
66,2
66.25,2
66.5,2
66.75,2
67,2
67.25,2
67.5,2
67.75,2
68,2
68.25,2
68.5,2
68.75,2
69,2
69.25,2
69.5,2
69.75,2
70,2
70.25,2
70.5,2
70.75,2
71,2
71.25,2
71.5,2
71.75,2
72,2
72.25,2
72.5,2
72.75,2
73,2
73.25,2
73.5,2
73.75,2
74,2
74.25,2
74.5,2
74.75,2
75,2
75.25,2
75.5,2
75.75,2
76,2
76.25,2
76.5,2
76.75,2
77,2
77.25,2
77.5,2
77.75,2
78,2
78.25,2
78.5,2
78.75,2
79,2
79.25,2
79.5,2
79.75,2
80,2
80.25,2
80.5,2
80.75,2
81,2
81.25,2
81.5,2
81.75,2
82,2
82.25,2
82.5,2
82.75,2
83,2
83.25,2
83.5,2
83.75,2
84,2
84.25,2
84.5,2
84.75,2
85,2
85.25,2
85.5,2
85.75,2
86,2
86.25,2
86.5,2
86.75,2
87,2
87.25,2
87.5,2
87.75,2
88,2
88.25,2
88.5,2
88.75,2
89,2
89.25,2
89.5,2
89.75,2
90,2
90.25,2
90.5,2
90.75,2
91,2
91.25,2
91.5,2
91.75,2
92,2
92.25,2
92.5,2
92.75,2
93,2
93.25,2
93.5,2
93.75,2
94,2
94.25,2
94.5,2
94.75,2
95,2
95.25,2
95.5,2
95.75,2
96,2
96.25,2
96.5,2
96.75,2
97,2
97.25,2
97.5,2
97.75,2
98,2
98.25,2
98.5,2
98.75,2
99,2
99.25,2
99.5,2
99.75,2
100,2
100.25,2
100.5,2
100.75,2
101,2
101.25,2
101.5,2
101.75,2
102,2
102.25,2
102.5,2
102.75,2
103,2
103.25,2
103.5,2
103.75,2
104,2
104.25,2
104.5,2
104.75,2
105,2
105.25,2
105.5,2
105.75,2
106,2
106.25,2
106.5,2
106.75,2
107,2
107.25,2
107.5,2
107.75,2
108,2
108.25,2
108.5,2
108.75,2
109,2
109.25,2
109.5,2
109.75,2
110,2
110.25,2
110.5,2
110.75,2
111,2
111.25,2
111.5,2
111.75,2
112,2
112.25,2
112.5,2
112.75,2
113,2
113.25,2
113.5,2
113.75,2
114,2
114.25,2
114.5,2
114.75,2
115,2
115.25,2
115.5,2
115.75,2
116,2
116.25,2
116.5,2
116.75,2
117,2
117.25,2
117.5,2
117.75,2
118,2
118.25,2
118.5,2
118.75,2
119,2
119.25,2
119.5,2
119.75,2
