Time,num_recovered
0,0
0.25,0
0.5,1
0.75,4
1,7
1.25,9
1.5,14
1.75,19
2,22
2.25,24
2.5,27
2.75,30
3,35
3.25,39
3.5,40
3.75,46
4,48
4.25,49
4.5,51
4.75,54
5,57
5.25,62
5.5,63
5.75,70
6,71
6.25,76
6.5,81
6.75,86
7,89
7.25,91
7.5,95
7.75,97
8,99
8.25,102
8.5,106
8.75,109
9,112
9.25,115
9.5,119
9.75,123
10,126
10.25,132
10.5,139
10.75,145
11,148
11.25,152
11.5,157
11.75,159
12,162
12.25,164
12.5,170
12.75,175
13,180
13.25,187
13.5,191
13.75,195
14,200
14.25,203
14.5,205
14.75,209
15,213
15.25,216
15.5,218
15.75,220
16,227
16.25,231
16.5,233
16.75,238
17,241
17.25,245
17.5,250
17.75,251
18,255
18.25,266
18.5,273
18.75,284
19,291
19.25,295
19.5,301
19.75,309
20,314
20.25,319
20.5,321
20.75,326
21,332
21.25,337
21.5,344
21.75,350
22,354
22.25,358
22.5,369
22.75,377
23,388
23.25,392
23.5,401
23.75,406
24,413
24.25,417
24.5,430
24.75,437
25,444
25.25,452
25.5,462
25.75,468
26,472
26.25,483
26.5,493
26.75,501
27,507
27.25,520
27.5,524
27.75,536
28,551
28.25,557
28.5,565
28.75,572
29,588
29.25,598
29.5,618
29.75,631
30,643
30.25,650
30.5,667
30.75,687
31,704
31.25,719
31.5,736
31.75,753
32,770
32.25,793
32.5,810
32.75,827
33,846
33.25,869
33.5,882
33.75,894
34,906
34.25,921
34.5,946
34.75,967
35,985
35.25,1003
35.5,1025
35.75,1047
36,1070
36.25,1084
36.5,1109
36.75,1133
37,1154
37.25,1180
37.5,1197
37.75,1216
38,1230
38.25,1259
38.5,1291
38.75,1309
39,1331
39.25,1353
39.5,1370
39.75,1394
40,1419
40.25,1447
40.5,1470
40.75,1487
41,1506
41.25,1525
41.5,1549
41.75,1571
42,1591
42.25,1612
42.5,1633
42.75,1652
43,1674
43.25,1704
43.5,1727
43.75,1748
44,1772
44.25,1805
44.5,1822
44.75,1853
45,1873
45.25,1899
45.5,1923
45.75,1949
46,1973
46.25,1994
46.5,2018
46.75,2043
47,2067
47.25,2090
47.5,2113
47.75,2135
48,2156
48.25,2177
48.5,2207
48.75,2228
49,2259
49.25,2282
49.5,2300
49.75,2326
50,2342
50.25,2360
50.5,2383
50.75,2411
51,2441
51.25,2463
51.5,2480
51.75,2501
52,2523
52.25,2545
52.5,2571
52.75,2595
53,2620
53.25,2641
53.5,2666
53.75,2690
54,2713
54.25,2733
54.5,2759
54.75,2782
55,2802
55.25,2826
55.5,2839
55.75,2857
56,2876
56.25,2894
56.5,2919
56.75,2935
57,2952
57.25,2973
57.5,2994
57.75,3011
58,3029
58.25,3040
58.5,3058
58.75,3070
59,3087
59.25,3107
59.5,3128
59.75,3140
60,3150
60.25,3164
60.5,3181
60.75,3194
61,3210
61.25,3226
61.5,3244
61.75,3259
62,3270
62.25,3282
62.5,3299
62.75,3309
63,3320
63.25,3333
63.5,3338
63.75,3350
64,3361
64.25,3375
64.5,3389
64.75,3401
65,3415
65.25,3420
65.5,3428
65.75,3438
66,3449
66.25,3459
66.5,3467
66.75,3480
67,3487
67.25,3494
67.5,3502
67.75,3512
68,3521
68.25,3534
68.5,3542
68.75,3554
69,3560
69.25,3572
69.5,3579
69.75,3583
70,3585
70.25,3588
70.5,3595
70.75,3603
71,3613
71.25,3622
71.5,3629
71.75,3632
72,3636
72.25,3645
72.5,3655
72.75,3659
73,3662
73.25,3668
73.5,3675
73.75,3680
74,3686
74.25,3691
74.5,3696
74.75,3697
75,3703
75.25,3709
75.5,3711
75.75,3718
76,3719
76.25,3721
76.5,3725
76.75,3731
77,3734
77.25,3734
77.5,3734
77.75,3737
78,3738
78.25,3742
78.5,3744
78.75,3748
79,3749
79.25,3753
79.5,3757
79.75,3762
80,3765
80.25,3768
80.5,3772
80.75,3774
81,3776
81.25,3778
81.5,3780
81.75,3783
82,3789
82.25,3792
82.5,3793
82.75,3794
83,3794
83.25,3798
83.5,3798
83.75,3799
84,3800
84.25,3800
84.5,3800
84.75,3802
85,3803
85.25,3807
85.5,3807
