Time,num_affected
0,100
0.25,100
0.5,107
0.75,116
1,128
1.25,155
1.5,190
1.75,213
2,223
2.25,227
2.5,229
2.75,235
3,241
3.25,247
3.5,252
3.75,259
4,266
4.25,272
4.5,276
4.75,282
5,290
5.25,299
5.5,304
5.75,310
6,318
6.25,327
6.5,336
6.75,344
7,353
7.25,361
7.5,370
7.75,374
8,392
8.25,403
8.5,414
8.75,424
9,441
9.25,446
9.5,455
9.75,464
10,468
10.25,476
10.5,487
10.75,499
11,507
11.25,513
11.5,520
11.75,527
12,538
12.25,546
12.5,554
12.75,561
13,575
13.25,587
13.5,611
13.75,630
14,730
14.25,768
14.5,779
14.75,788
15,806
15.25,819
15.5,831
15.75,838
16,858
16.25,874
16.5,880
16.75,911
17,926
17.25,943
17.5,958
17.75,967
18,976
18.25,990
18.5,1007
18.75,1067
19,1090
19.25,1105
19.5,1127
19.75,1155
20,1174
20.25,1200
20.5,1215
20.75,1274
21,1302
21.25,1330
21.5,1345
21.75,1365
22,1377
22.25,1397
22.5,1411
22.75,1426
23,1444
23.25,1474
23.5,1497
23.75,1515
24,1536
24.25,1559
24.5,1587
24.75,1605
25,1619
25.25,1636
25.5,1655
25.75,1673
26,1697
26.25,1712
26.5,1733
26.75,1752
27,1771
27.25,1790
27.5,1855
27.75,1869
28,1891
28.25,1910
28.5,1935
28.75,1954
29,1981
29.25,1998
29.5,2016
29.75,2036
30,2061
30.25,2079
30.5,2098
30.75,2111
31,2125
31.25,2147
31.5,2165
31.75,2181
32,2204
32.25,2218
32.5,2238
32.75,2251
33,2268
33.25,2285
33.5,2305
33.75,2319
34,2341
34.25,2355
34.5,2371
34.75,2389
35,2404
35.25,2423
35.5,2439
35.75,2455
36,2479
36.25,2490
36.5,2515
36.75,2526
37,2540
37.25,2553
37.5,2564
37.75,2574
38,2587
38.25,2597
38.5,2615
38.75,2630
39,2640
39.25,2651
39.5,2660
39.75,2673
40,2685
40.25,2690
40.5,2698
40.75,2707
41,2719
41.25,2732
41.5,2741
41.75,2752
42,2765
42.25,2776
42.5,2782
42.75,2798
43,2810
43.25,2812
43.5,2819
43.75,2825
44,2831
44.25,2839
44.5,2851
44.75,2856
45,2862
45.25,2878
45.5,2884
45.75,2890
46,2898
46.25,2906
46.5,2915
46.75,2926
47,2935
47.25,2940
47.5,2949
47.75,2956
48,2961
48.25,2975
48.5,2983
48.75,2991
49,2998
49.25,3010
49.5,3021
49.75,3028
50,3037
50.25,3043
50.5,3048
50.75,3053
51,3058
51.25,3069
51.5,3071
51.75,3077
52,3086
52.25,3090
52.5,3096
52.75,3106
53,3110
53.25,3117
53.5,3122
53.75,3124
54,3125
54.25,3125
54.5,3134
54.75,3138
55,3142
55.25,3146
55.5,3153
55.75,3163
56,3169
56.25,3176
56.5,3178
56.75,3183
57,3187
57.25,3197
57.5,3201
57.75,3206
58,3207
58.25,3211
58.5,3212
58.75,3215
59,3217
59.25,3220
59.5,3222
59.75,3225
60,3230
60.25,3233
60.5,3236
60.75,3239
61,3241
61.25,3243
61.5,3244
61.75,3245
62,3249
62.25,3250
62.5,3252
62.75,3255
63,3257
63.25,3259
63.5,3265
63.75,3268
64,3269
64.25,3271
64.5,3272
64.75,3274
65,3276
65.25,3279
65.5,3280
65.75,3281
66,3282
66.25,3283
66.5,3284
66.75,3286
67,3287
67.25,3287
67.5,3289
67.75,3290
68,3293
68.25,3297
68.5,3297
68.75,3298
69,3301
69.25,3302
69.5,3305
69.75,3308
70,3308
70.25,3308
70.5,3311
70.75,3313
71,3313
71.25,3314
71.5,3314
71.75,3315
72,3319
72.25,3320
72.5,3321
72.75,3322
73,3323
73.25,3323
73.5,3323
73.75,3323
74,3324
74.25,3324
74.5,3325
74.75,3325
75,3325
75.25,3325
75.5,3326
75.75,3327
76,3327
76.25,3327
76.5,3328
76.75,3329
77,3329
77.25,3329
77.5,3331
77.75,3331
78,3331
78.25,3331
78.5,3331
78.75,3331
79,3331
79.25,3331
79.5,3331
79.75,3331
80,3331
80.25,3331
80.5,3332
80.75,3332
81,3333
81.25,3334
81.5,3334
81.75,3335
82,3335
82.25,3335
82.5,3336
82.75,3336
83,3336
83.25,3336
83.5,3337
83.75,3337
84,3337
84.25,3337
84.5,3337
84.75,3337
85,3337
85.25,3337
85.5,3337
85.75,3337
86,3337
86.25,3337
86.5,3337
86.75,3337
87,3337
87.25,3337
87.5,3337
87.75,3337
88,3337
88.25,3337
88.5,3337
88.75,3337
89,3337
89.25,3337
89.5,3337
89.75,3337
90,3338
90.25,3339
90.5,3339
90.75,3339
91,3339
91.25,3339
91.5,3339
91.75,3339
92,3339
92.25,3339
92.5,3339
92.75,3339
93,3339
93.25,3339
93.5,3339
93.75,3339
94,3339
94.25,3339
94.5,3339
94.75,3339
95,3339
95.25,3339
95.5,3339
95.75,3339
96,3339
96.25,3339
96.5,3339
96.75,3339
97,3339
97.25,3339
97.5,3339
97.75,3339
98,3339
98.25,3339
98.5,3339
98.75,3339
99,3339
99.25,3339
99.5,3339
99.75,3339
100,3339
100.25,3339
100.5,3339
100.75,3339
101,3339
101.25,3339
101.5,3339
101.75,3339
102,3339
102.25,3339
102.5,3339
102.75,3339
103,3339
103.25,3339
103.5,3339
103.75,3339
104,3339
104.25,3339
104.5,3339
104.75,3339
105,3339
105.25,3339
105.5,3339
105.75,3339
106,3339
106.25,3339
106.5,3339
106.75,3339
107,3339
107.25,3339
107.5,3339
107.75,3339
108,3339
108.25,3339
108.5,3339
108.75,3339
109,3339
109.25,3339
109.5,3339
109.75,3339
110,3339
110.25,3339
110.5,3339
110.75,3339
111,3339
111.25,3339
111.5,3339
111.75,3339
112,3339
112.25,3339
112.5,3339
112.75,3339
113,3339
113.25,3339
113.5,3339
113.75,3339
114,3339
114.25,3339
114.5,3339
114.75,3339
115,3339
115.25,3339
115.5,3339
115.75,3339
116,3339
116.25,3339
116.5,3339
116.75,3339
117,3339
117.25,3339
117.5,3339
117.75,3339
118,3339
118.25,3339
118.5,3339
118.75,3339
119,3339
119.25,3339
119.5,3339
119.75,3339
