Time,num_cases
0,0
0.25,0
0.5,2
0.75,7
1,3
1.25,7
1.5,4
1.75,3
2,8
2.25,4
2.5,6
2.75,5
3,7
3.25,7
3.5,5
3.75,14
4,6
4.25,13
4.5,8
4.75,3
5,8
5.25,7
5.5,2
5.75,8
6,6
6.25,8
6.5,6
6.75,2
7,4
7.25,10
7.5,4
7.75,5
8,9
8.25,8
8.5,5
8.75,9
9,5
9.25,4
9.5,8
9.75,6
10,10
10.25,9
10.5,7
10.75,3
11,2
11.25,7
11.5,7
11.75,5
12,14
12.25,11
12.5,11
12.75,4
13,12
13.25,11
13.5,12
13.75,8
14,9
14.25,9
14.5,11
14.75,12
15,8
15.25,7
15.5,6
15.75,6
16,10
16.25,10
16.5,13
16.75,14
17,11
17.25,11
17.5,19
17.75,16
18,15
18.25,11
18.5,12
18.75,17
19,10
19.25,12
19.5,16
19.75,23
20,16
20.25,18
20.5,14
20.75,20
21,14
21.25,16
21.5,16
21.75,14
22,17
22.25,19
22.5,21
22.75,16
23,20
23.25,18
23.5,19
23.75,16
24,22
24.25,19
24.5,17
24.75,18
25,14
25.25,17
25.5,15
25.75,18
26,23
26.25,21
26.5,18
26.75,22
27,12
27.25,16
27.5,20
27.75,16
28,16
28.25,20
28.5,13
28.75,18
29,11
29.25,16
29.5,19
29.75,15
30,17
30.25,11
30.5,6
30.75,12
31,10
31.25,16
31.5,12
31.75,14
32,14
32.25,8
32.5,8
32.75,15
33,8
33.25,11
33.5,12
33.75,11
34,15
34.25,10
34.5,10
34.75,14
35,8
35.25,15
35.5,10
35.75,14
36,9
36.25,11
36.5,10
36.75,12
37,10
37.25,11
37.5,9
37.75,7
38,5
38.25,6
38.5,9
38.75,12
39,3
39.25,8
39.5,5
39.75,4
40,12
40.25,15
40.5,4
40.75,19
41,6
41.25,6
41.5,5
41.75,7
42,6
42.25,17
42.5,12
42.75,8
43,8
43.25,8
43.5,8
43.75,4
44,5
44.25,4
44.5,5
44.75,9
45,8
45.25,5
45.5,6
45.75,6
46,11
46.25,3
46.5,5
46.75,5
47,4
47.25,6
47.5,6
47.75,7
48,6
48.25,5
48.5,10
48.75,3
49,5
49.25,2
49.5,9
49.75,5
50,2
50.25,5
50.5,5
50.75,4
51,5
51.25,3
51.5,2
51.75,1
52,3
52.25,3
52.5,4
52.75,3
53,2
53.25,3
53.5,3
53.75,3
54,2
54.25,3
54.5,2
54.75,1
55,4
55.25,3
55.5,2
55.75,3
56,2
56.25,1
56.5,3
56.75,3
57,4
57.25,3
57.5,2
57.75,4
58,1
58.25,2
58.5,2
58.75,5
59,1
59.25,2
59.5,2
59.75,5
60,0
60.25,1
60.5,1
60.75,1
61,2
61.25,2
61.5,0
61.75,1
62,2
62.25,0
62.5,2
62.75,1
63,1
63.25,2
63.5,2
63.75,2
64,0
64.25,1
64.5,0
64.75,1
65,1
65.25,1
65.5,3
65.75,1
66,0
66.25,0
66.5,0
66.75,1
67,0
67.25,0
67.5,3
67.75,0
68,2
68.25,1
68.5,0
68.75,0
69,0
69.25,1
69.5,1
69.75,1
70,0
70.25,1
70.5,0
70.75,0
71,0
71.25,1
71.5,0
71.75,0
72,2
72.25,1
72.5,0
72.75,0
73,1
73.25,0
73.5,0
73.75,0
74,1
74.25,1
74.5,0
74.75,0
75,0
75.25,0
75.5,1
75.75,1
76,0
76.25,0
76.5,0
76.75,1
77,0
77.25,1
77.5,1
77.75,0
78,0
78.25,1
78.5,0
78.75,0
79,0
79.25,0
79.5,0
79.75,1
80,1
80.25,0
80.5,0
80.75,0
81,1
81.25,1
81.5,0
81.75,0
82,0
82.25,1
82.5,1
82.75,0
83,1
83.25,0
83.5,0
83.75,0
84,1
84.25,0
84.5,0
84.75,0
85,0
85.25,0
85.5,1
85.75,0
86,0
86.25,1
86.5,0
86.75,0
87,0
87.25,2
87.5,0
87.75,0
88,0
88.25,0
88.5,0
88.75,0
89,0
89.25,0
89.5,0
89.75,0
90,1
90.25,1
90.5,0
90.75,1
91,0
91.25,1
91.5,0
91.75,0
92,0
92.25,1
92.5,0
92.75,1
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,1
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0
98.5,0
98.75,0
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,1
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,1
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,1
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,1
108.5,0
108.75,0
109,0
109.25,0
109.5,1
109.75,0
110,0
110.25,0
110.5,1
110.75,1
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,2
112.5,0
112.75,1
113,0
113.25,0
113.5,3
113.75,1
114,1
114.25,0
114.5,0
114.75,0
115,1
115.25,0
115.5,1
115.75,0
116,0
116.25,0
116.5,2
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,1
118.5,0
118.75,0
119,3
119.25,0
119.5,2
119.75,0
