Time,num_recovered
0,0
0.25,0
0.5,2
0.75,5
1,7
1.25,9
1.5,12
1.75,15
2,18
2.25,21
2.5,27
2.75,29
3,33
3.25,36
3.5,39
3.75,42
4,47
4.25,47
4.5,50
4.75,52
5,53
5.25,57
5.5,60
5.75,62
6,67
6.25,70
6.5,71
6.75,73
7,76
7.25,79
7.5,80
7.75,87
8,92
8.25,93
8.5,95
8.75,97
9,100
9.25,102
9.5,106
9.75,107
10,110
10.25,116
10.5,118
10.75,121
11,127
11.25,128
11.5,128
11.75,131
12,135
12.25,137
12.5,139
12.75,140
13,142
13.25,144
13.5,144
13.75,145
14,146
14.25,148
14.5,149
14.75,151
15,157
15.25,159
15.5,160
15.75,163
16,163
16.25,164
16.5,165
16.75,165
17,165
17.25,166
17.5,167
17.75,167
18,169
18.25,171
18.5,172
18.75,174
19,178
19.25,179
19.5,181
19.75,182
20,182
20.25,184
20.5,186
20.75,188
21,188
21.25,190
21.5,191
21.75,191
22,193
22.25,194
22.5,194
22.75,194
23,195
23.25,197
23.5,198
23.75,199
24,199
24.25,199
24.5,199
24.75,200
25,200
25.25,202
25.5,202
25.75,202
26,203
26.25,203
26.5,203
26.75,203
27,205
27.25,206
27.5,208
27.75,209
28,209
28.25,209
28.5,210
28.75,210
29,210
29.25,211
29.5,212
29.75,213
30,214
30.25,214
30.5,214
30.75,215
31,216
31.25,217
31.5,220
31.75,220
32,220
32.25,220
32.5,222
32.75,222
33,222
33.25,222
33.5,222
33.75,222
34,223
34.25,223
34.5,224
34.75,224
35,224
35.25,225
35.5,225
35.75,225
36,225
36.25,225
36.5,226
36.75,226
37,228
37.25,228
37.5,228
37.75,229
38,229
38.25,229
38.5,230
38.75,230
39,230
39.25,230
39.5,230
39.75,231
40,231
40.25,231
40.5,231
40.75,231
41,231
41.25,231
41.5,231
41.75,231
42,231
42.25,231
42.5,231
42.75,232
43,232
43.25,232
43.5,232
43.75,232
44,232
44.25,232
44.5,232
44.75,232
45,232
45.25,232
45.5,233
45.75,233
46,234
46.25,234
46.5,234
46.75,234
47,234
47.25,235
47.5,235
47.75,235
48,235
48.25,235
48.5,235
48.75,235
49,235
49.25,235
49.5,235
49.75,235
50,235
50.25,235
50.5,235
50.75,235
51,235
51.25,235
51.5,235
51.75,236
52,236
52.25,236
52.5,237
52.75,237
53,237
53.25,237
53.5,237
53.75,237
54,237
54.25,237
54.5,237
54.75,238
55,239
55.25,240
55.5,241
55.75,241
56,242
56.25,242
56.5,243
56.75,243
57,243
57.25,243
57.5,243
57.75,244
58,244
58.25,245
58.5,246
58.75,247
59,247
59.25,248
59.5,248
59.75,248
60,248
60.25,248
60.5,248
60.75,248
61,249
61.25,249
61.5,249
61.75,249
62,249
62.25,249
62.5,249
62.75,249
63,249
63.25,250
63.5,250
63.75,251
64,251
64.25,251
64.5,251
64.75,251
65,251
65.25,251
65.5,251
65.75,251
66,251
66.25,251
66.5,251
66.75,251
67,251
67.25,251
67.5,251
67.75,251
68,251
68.25,251
68.5,251
68.75,251
69,251
69.25,251
69.5,251
69.75,251
70,251
70.25,251
70.5,251
70.75,251
71,251
71.25,251
71.5,251
71.75,251
72,251
72.25,251
72.5,251
72.75,251
73,251
73.25,251
73.5,251
73.75,252
74,252
74.25,252
74.5,252
74.75,252
75,252
75.25,252
75.5,252
75.75,252
76,252
76.25,252
76.5,252
76.75,252
77,252
77.25,252
77.5,252
77.75,252
78,252
78.25,252
78.5,252
78.75,252
79,252
79.25,252
79.5,252
79.75,252
80,252
80.25,252
80.5,252
80.75,252
81,252
81.25,252
81.5,252
81.75,252
82,252
82.25,252
82.5,252
82.75,252
83,252
83.25,252
83.5,252
83.75,252
84,252
84.25,252
84.5,252
84.75,252
85,252
85.25,252
85.5,252
85.75,252
86,252
86.25,252
86.5,252
86.75,252
87,252
87.25,252
87.5,252
87.75,252
88,252
88.25,252
88.5,252
88.75,252
89,252
89.25,252
89.5,252
89.75,252
90,252
90.25,252
90.5,252
90.75,252
91,252
91.25,252
91.5,252
91.75,252
92,252
92.25,252
92.5,252
92.75,252
93,252
93.25,252
93.5,252
93.75,252
94,252
94.25,252
94.5,252
94.75,252
95,252
95.25,252
95.5,252
95.75,252
96,252
96.25,252
96.5,252
96.75,252
97,252
97.25,252
97.5,253
97.75,253
98,253
98.25,253
98.5,253
98.75,253
99,253
99.25,253
99.5,253
99.75,253
100,253
100.25,253
100.5,253
100.75,253
101,253
101.25,254
101.5,254
101.75,254
102,254
102.25,254
102.5,254
102.75,254
103,254
103.25,254
103.5,254
103.75,254
104,254
104.25,254
104.5,254
104.75,254
105,254
105.25,254
105.5,254
105.75,254
106,254
106.25,254
106.5,254
106.75,254
107,254
107.25,254
107.5,254
107.75,254
108,254
108.25,254
108.5,254
108.75,254
109,254
109.25,254
109.5,254
109.75,254
110,254
110.25,254
110.5,254
110.75,254
111,254
111.25,254
111.5,254
111.75,254
112,254
112.25,254
112.5,254
112.75,254
113,254
113.25,254
113.5,254
113.75,254
114,254
114.25,254
114.5,254
114.75,254
115,254
115.25,254
115.5,254
115.75,254
116,254
116.25,254
116.5,254
116.75,254
117,254
117.25,254
117.5,254
117.75,254
118,254
118.25,254
118.5,254
118.75,254
119,254
119.25,254
119.5,254
119.75,254
