Time,num_affected
0,100
0.25,100
0.5,100
0.75,100
1,101
1.25,102
1.5,102
1.75,102
2,102
2.25,103
2.5,103
2.75,103
3,103
3.25,107
3.5,107
3.75,107
4,107
4.25,108
4.5,108
4.75,108
5,108
5.25,108
5.5,108
5.75,109
6,110
6.25,110
6.5,110
6.75,111
7,111
7.25,112
7.5,112
7.75,112
8,113
8.25,113
8.5,113
8.75,113
9,113
9.25,113
9.5,113
9.75,113
10,113
10.25,113
10.5,114
10.75,114
11,114
11.25,114
11.5,114
11.75,114
12,114
12.25,114
12.5,114
12.75,114
13,114
13.25,114
13.5,114
13.75,114
14,114
14.25,114
14.5,114
14.75,114
15,114
15.25,114
15.5,114
15.75,114
16,114
16.25,114
16.5,114
16.75,115
17,115
17.25,115
17.5,115
17.75,115
18,115
18.25,115
18.5,115
18.75,115
19,115
19.25,115
19.5,115
19.75,115
20,115
20.25,115
20.5,115
20.75,115
21,115
21.25,115
21.5,116
21.75,116
22,117
22.25,117
22.5,117
22.75,117
23,117
23.25,117
23.5,117
23.75,117
24,117
24.25,117
24.5,117
24.75,117
25,117
25.25,117
25.5,117
25.75,117
26,117
26.25,117
26.5,117
26.75,117
27,117
27.25,117
27.5,117
27.75,117
28,117
28.25,117
28.5,117
28.75,117
29,117
29.25,117
29.5,117
29.75,117
30,117
30.25,117
30.5,117
30.75,117
31,117
31.25,117
31.5,117
31.75,117
32,117
32.25,117
32.5,117
32.75,117
33,117
33.25,117
33.5,117
33.75,117
34,117
34.25,117
34.5,117
34.75,117
35,117
35.25,117
35.5,117
35.75,117
36,117
36.25,117
36.5,117
36.75,117
37,117
37.25,117
37.5,117
37.75,117
38,117
38.25,117
38.5,117
38.75,117
39,117
39.25,117
39.5,117
39.75,117
40,117
40.25,117
40.5,117
40.75,117
41,117
41.25,117
41.5,117
41.75,117
42,117
42.25,117
42.5,117
42.75,117
43,117
43.25,117
43.5,117
43.75,117
44,117
44.25,117
44.5,117
44.75,117
45,117
45.25,117
45.5,117
45.75,117
46,117
46.25,117
46.5,117
46.75,117
47,117
47.25,117
47.5,117
47.75,117
48,117
48.25,117
48.5,117
48.75,117
49,117
49.25,117
49.5,117
49.75,117
50,117
50.25,117
50.5,117
50.75,117
51,117
51.25,117
51.5,117
51.75,117
52,117
52.25,117
52.5,117
52.75,117
53,117
53.25,117
53.5,117
53.75,117
54,117
54.25,117
54.5,117
54.75,117
55,117
55.25,117
55.5,117
55.75,117
56,117
56.25,117
56.5,117
56.75,117
57,117
57.25,117
57.5,117
57.75,117
58,117
58.25,117
58.5,117
58.75,117
59,117
59.25,117
59.5,117
59.75,117
60,117
60.25,117
60.5,117
60.75,117
61,117
61.25,117
61.5,117
61.75,117
62,117
62.25,117
62.5,117
62.75,117
63,117
63.25,117
63.5,117
63.75,117
64,117
64.25,117
64.5,117
64.75,117
65,117
65.25,117
65.5,117
65.75,117
66,117
66.25,117
66.5,117
66.75,117
67,117
67.25,117
67.5,117
67.75,117
68,117
68.25,117
68.5,117
68.75,117
69,117
69.25,117
69.5,117
69.75,117
70,117
70.25,117
70.5,117
70.75,117
71,117
71.25,117
71.5,117
71.75,117
72,117
72.25,117
72.5,117
72.75,117
73,117
73.25,117
73.5,117
73.75,117
74,117
74.25,117
74.5,117
74.75,117
75,117
75.25,117
75.5,117
75.75,117
76,117
76.25,117
76.5,117
76.75,117
77,117
77.25,117
77.5,117
77.75,117
78,117
78.25,117
78.5,117
78.75,117
79,117
79.25,117
79.5,117
79.75,117
80,117
80.25,117
80.5,117
80.75,117
81,117
81.25,117
81.5,117
81.75,117
82,117
82.25,117
82.5,117
82.75,117
83,117
83.25,117
83.5,117
83.75,117
84,117
84.25,117
84.5,117
84.75,117
85,117
85.25,117
85.5,117
85.75,117
86,117
86.25,117
86.5,117
86.75,117
87,117
87.25,117
87.5,117
87.75,117
88,117
88.25,117
88.5,117
88.75,117
89,117
89.25,117
89.5,117
89.75,117
90,117
90.25,117
90.5,117
90.75,117
91,117
91.25,117
91.5,117
91.75,117
92,117
92.25,117
92.5,117
92.75,117
93,117
93.25,117
93.5,117
93.75,117
94,117
94.25,117
94.5,117
94.75,117
95,117
95.25,117
95.5,117
95.75,117
96,117
96.25,117
96.5,117
96.75,117
97,117
97.25,117
97.5,117
97.75,117
98,117
98.25,117
98.5,117
98.75,117
99,117
99.25,117
99.5,117
99.75,117
100,117
100.25,117
100.5,117
100.75,117
101,117
101.25,117
101.5,117
101.75,117
102,117
102.25,117
102.5,117
102.75,117
103,117
103.25,117
103.5,117
103.75,117
104,117
104.25,117
104.5,117
104.75,117
105,117
105.25,117
105.5,117
105.75,117
106,117
106.25,117
106.5,117
106.75,117
107,117
107.25,117
107.5,117
107.75,117
108,117
108.25,117
108.5,117
108.75,117
109,117
109.25,117
109.5,117
109.75,117
110,117
110.25,117
110.5,117
110.75,117
111,117
111.25,117
111.5,117
111.75,117
112,117
112.25,117
112.5,117
112.75,117
113,117
113.25,117
113.5,117
113.75,117
114,117
114.25,117
114.5,117
114.75,117
115,117
115.25,117
115.5,117
115.75,117
116,117
116.25,117
116.5,117
116.75,117
117,117
117.25,117
117.5,117
117.75,117
118,117
118.25,117
118.5,117
118.75,117
119,117
119.25,117
119.5,117
119.75,117
