Time,num_affected
0,100
0.25,100
0.5,100
0.75,100
1,100
1.25,100
1.5,100
1.75,100
2,100
2.25,100
2.5,100
2.75,100
3,100
3.25,101
3.5,101
3.75,101
4,101
4.25,101
4.5,101
4.75,101
5,102
5.25,102
5.5,102
5.75,102
6,102
6.25,102
6.5,103
6.75,103
7,104
7.25,105
7.5,105
7.75,105
8,105
8.25,105
8.5,105
8.75,105
9,105
9.25,105
9.5,105
9.75,105
10,105
10.25,106
10.5,106
10.75,106
11,106
11.25,106
11.5,106
11.75,106
12,106
12.25,106
12.5,107
12.75,107
13,107
13.25,108
13.5,108
13.75,109
14,109
14.25,109
14.5,109
14.75,109
15,109
15.25,109
15.5,109
15.75,109
16,109
16.25,109
16.5,109
16.75,109
17,109
17.25,109
17.5,109
17.75,109
18,109
18.25,109
18.5,109
18.75,109
19,109
19.25,109
19.5,109
19.75,109
20,109
20.25,109
20.5,109
20.75,109
21,109
21.25,109
21.5,109
21.75,109
22,109
22.25,109
22.5,109
22.75,109
23,109
23.25,109
23.5,109
23.75,109
24,109
24.25,109
24.5,109
24.75,109
25,109
25.25,110
25.5,110
25.75,110
26,110
26.25,110
26.5,110
26.75,110
27,110
27.25,110
27.5,110
27.75,110
28,110
28.25,110
28.5,110
28.75,110
29,110
29.25,110
29.5,110
29.75,110
30,110
30.25,110
30.5,110
30.75,110
31,110
31.25,110
31.5,110
31.75,110
32,110
32.25,110
32.5,110
32.75,110
33,110
33.25,110
33.5,110
33.75,110
34,110
34.25,110
34.5,110
34.75,110
35,110
35.25,110
35.5,110
35.75,110
36,110
36.25,110
36.5,110
36.75,110
37,110
37.25,110
37.5,110
37.75,110
38,110
38.25,110
38.5,110
38.75,110
39,110
39.25,110
39.5,110
39.75,110
40,110
40.25,110
40.5,110
40.75,110
41,110
41.25,110
41.5,110
41.75,110
42,110
42.25,110
42.5,110
42.75,110
43,110
43.25,110
43.5,110
43.75,110
44,110
44.25,110
44.5,110
44.75,110
45,110
45.25,110
45.5,110
45.75,110
46,110
46.25,110
46.5,110
46.75,110
47,110
47.25,110
47.5,110
47.75,110
48,110
48.25,110
48.5,110
48.75,110
49,110
49.25,110
49.5,110
49.75,110
50,110
50.25,110
50.5,110
50.75,110
51,110
51.25,110
51.5,110
51.75,110
52,110
52.25,110
52.5,110
52.75,110
53,110
53.25,110
53.5,110
53.75,110
54,110
54.25,110
54.5,110
54.75,110
55,110
55.25,110
55.5,110
55.75,110
56,110
56.25,110
56.5,110
56.75,110
57,110
57.25,110
57.5,110
57.75,110
58,110
58.25,110
58.5,110
58.75,110
59,110
59.25,110
59.5,110
59.75,110
60,110
60.25,110
60.5,110
60.75,110
61,110
61.25,110
61.5,110
61.75,110
62,110
62.25,110
62.5,110
62.75,110
63,110
63.25,110
63.5,110
63.75,110
64,110
64.25,110
64.5,110
64.75,110
65,110
65.25,110
65.5,110
65.75,110
66,110
66.25,110
66.5,110
66.75,110
67,110
67.25,110
67.5,110
67.75,110
68,110
68.25,110
68.5,110
68.75,110
69,110
69.25,110
69.5,110
69.75,110
70,110
70.25,110
70.5,110
70.75,110
71,110
71.25,110
71.5,110
71.75,110
72,110
72.25,110
72.5,110
72.75,110
73,110
73.25,110
73.5,110
73.75,110
74,110
74.25,110
74.5,110
74.75,110
75,110
75.25,110
75.5,110
75.75,110
76,110
76.25,110
76.5,110
76.75,110
77,110
77.25,110
77.5,110
77.75,110
78,110
78.25,110
78.5,110
78.75,110
79,110
79.25,110
79.5,110
79.75,110
80,110
80.25,110
80.5,110
80.75,110
81,110
81.25,110
81.5,110
81.75,110
82,110
82.25,110
82.5,110
82.75,110
83,110
83.25,110
83.5,110
83.75,110
84,110
84.25,110
84.5,110
84.75,110
85,110
85.25,110
85.5,110
85.75,110
86,110
86.25,110
86.5,110
86.75,110
87,110
87.25,110
87.5,110
87.75,110
88,110
88.25,110
88.5,110
88.75,110
89,110
89.25,110
89.5,110
89.75,110
90,110
90.25,110
90.5,110
90.75,110
91,110
91.25,110
91.5,110
91.75,110
92,110
92.25,110
92.5,110
92.75,110
93,110
93.25,110
93.5,110
93.75,110
94,110
94.25,110
94.5,110
94.75,110
95,110
95.25,110
95.5,110
95.75,110
96,110
96.25,110
96.5,110
96.75,110
97,110
97.25,110
97.5,110
97.75,110
98,110
98.25,110
98.5,110
98.75,110
99,110
99.25,110
99.5,110
99.75,110
100,110
100.25,110
100.5,110
100.75,110
101,110
101.25,110
101.5,110
101.75,110
102,110
102.25,110
102.5,110
102.75,110
103,110
103.25,110
103.5,110
103.75,110
104,110
104.25,110
104.5,110
104.75,110
105,110
105.25,110
105.5,110
105.75,110
106,110
106.25,110
106.5,110
106.75,110
107,110
107.25,110
107.5,110
107.75,110
108,110
108.25,110
108.5,110
108.75,110
109,110
109.25,110
109.5,110
109.75,110
110,110
110.25,110
110.5,110
110.75,110
111,110
111.25,110
111.5,110
111.75,110
112,110
112.25,110
112.5,110
112.75,110
113,110
113.25,110
113.5,110
113.75,110
114,110
114.25,110
114.5,110
114.75,110
115,110
115.25,110
115.5,110
115.75,110
116,110
116.25,110
116.5,110
116.75,110
117,110
117.25,110
117.5,110
117.75,110
118,110
118.25,110
118.5,110
118.75,110
119,110
119.25,110
119.5,110
119.75,110
