Time,num_affected
0,100
0.25,100
0.5,106
0.75,109
1,109
1.25,111
1.5,116
1.75,120
2,125
2.25,128
2.5,133
2.75,143
3,154
3.25,172
3.5,186
3.75,194
4,213
4.25,226
4.5,261
4.75,275
5,293
5.25,309
5.5,319
5.75,338
6,369
6.25,401
6.5,416
6.75,432
7,452
7.25,467
7.5,483
7.75,501
8,530
8.25,549
8.5,568
8.75,597
9,624
9.25,661
9.5,687
9.75,712
10,744
10.25,766
10.5,797
10.75,822
11,857
11.25,895
11.5,935
11.75,970
12,1002
12.25,1041
12.5,1061
12.75,1101
13,1149
13.25,1187
13.5,1239
13.75,1307
14,1338
14.25,1395
14.5,1440
14.75,1484
15,1527
15.25,1573
15.5,1612
15.75,1657
16,1705
16.25,1761
16.5,1819
16.75,1881
17,1927
17.25,1993
17.5,2039
17.75,2100
18,2147
18.25,2200
18.5,2254
18.75,2307
19,2367
19.25,2415
19.5,2471
19.75,2535
20,2581
20.25,2637
20.5,2677
20.75,2730
21,2791
21.25,2849
21.5,2911
21.75,2965
22,3006
22.25,3070
22.5,3124
22.75,3185
23,3227
23.25,3270
23.5,3319
23.75,3359
24,3400
24.25,3437
24.5,3479
24.75,3514
25,3558
25.25,3589
25.5,3616
25.75,3647
26,3667
26.25,3688
26.5,3721
26.75,3753
27,3770
27.25,3796
27.5,3823
27.75,3847
28,3873
28.25,3898
28.5,3920
28.75,3947
29,3977
29.25,3993
29.5,4004
29.75,4015
30,4032
30.25,4044
30.5,4057
30.75,4070
31,4084
31.25,4097
31.5,4105
31.75,4114
32,4118
32.25,4127
32.5,4137
32.75,4145
33,4154
33.25,4167
33.5,4174
33.75,4183
34,4190
34.25,4194
34.5,4199
34.75,4206
35,4212
35.25,4214
35.5,4223
35.75,4228
36,4236
36.25,4239
36.5,4244
36.75,4246
37,4246
37.25,4249
37.5,4249
37.75,4251
38,4255
38.25,4258
38.5,4264
38.75,4265
39,4267
39.25,4268
39.5,4269
39.75,4271
40,4272
40.25,4275
40.5,4278
40.75,4279
41,4280
41.25,4282
41.5,4282
41.75,4284
42,4284
42.25,4286
42.5,4286
42.75,4286
43,4288
43.25,4288
43.5,4288
43.75,4289
44,4289
44.25,4290
44.5,4291
44.75,4291
45,4292
45.25,4292
45.5,4292
45.75,4292
46,4292
46.25,4292
46.5,4292
46.75,4292
47,4292
47.25,4292
47.5,4294
47.75,4295
48,4295
48.25,4295
48.5,4296
48.75,4296
49,4297
49.25,4297
49.5,4297
49.75,4297
50,4297
50.25,4298
50.5,4298
50.75,4299
51,4300
51.25,4300
51.5,4300
51.75,4301
52,4302
52.25,4302
52.5,4302
52.75,4302
53,4302
53.25,4302
53.5,4302
53.75,4302
54,4302
54.25,4302
54.5,4302
54.75,4302
55,4302
55.25,4302
55.5,4302
55.75,4302
56,4302
56.25,4302
56.5,4302
56.75,4302
57,4302
57.25,4302
57.5,4302
57.75,4302
58,4302
58.25,4302
58.5,4302
58.75,4302
59,4302
59.25,4302
59.5,4302
59.75,4302
60,4302
60.25,4302
60.5,4302
60.75,4302
61,4302
61.25,4302
61.5,4302
61.75,4302
62,4302
62.25,4302
62.5,4302
62.75,4302
63,4302
63.25,4302
63.5,4302
63.75,4302
64,4302
64.25,4302
64.5,4302
64.75,4302
65,4302
65.25,4302
65.5,4302
65.75,4302
66,4302
66.25,4302
66.5,4302
66.75,4302
67,4302
67.25,4302
67.5,4302
67.75,4302
68,4302
68.25,4302
68.5,4302
68.75,4302
69,4302
69.25,4302
69.5,4302
69.75,4302
70,4302
70.25,4302
70.5,4302
70.75,4302
71,4302
71.25,4302
71.5,4302
71.75,4302
72,4302
72.25,4302
72.5,4302
72.75,4302
73,4302
73.25,4302
73.5,4302
73.75,4302
74,4302
74.25,4302
74.5,4302
74.75,4302
75,4302
75.25,4302
75.5,4302
75.75,4302
76,4302
76.25,4302
76.5,4302
76.75,4302
77,4302
77.25,4302
77.5,4302
77.75,4302
78,4302
78.25,4302
78.5,4302
78.75,4302
79,4302
79.25,4302
79.5,4302
79.75,4302
80,4302
80.25,4302
80.5,4302
80.75,4302
81,4302
81.25,4302
81.5,4302
81.75,4302
82,4302
82.25,4302
82.5,4302
82.75,4302
83,4302
83.25,4302
83.5,4302
83.75,4302
84,4302
84.25,4302
84.5,4302
84.75,4302
85,4302
85.25,4302
85.5,4302
85.75,4302
86,4302
86.25,4302
86.5,4302
86.75,4302
87,4302
87.25,4302
87.5,4302
87.75,4302
88,4302
88.25,4302
88.5,4302
88.75,4302
89,4302
89.25,4302
89.5,4302
89.75,4302
90,4302
90.25,4302
90.5,4302
90.75,4302
91,4302
91.25,4302
91.5,4302
91.75,4302
92,4302
92.25,4302
92.5,4302
92.75,4302
93,4302
93.25,4302
93.5,4302
93.75,4302
94,4302
94.25,4302
94.5,4302
94.75,4302
95,4302
95.25,4302
95.5,4302
95.75,4302
96,4302
96.25,4302
96.5,4302
96.75,4302
97,4302
97.25,4302
97.5,4302
97.75,4302
98,4302
98.25,4302
98.5,4302
98.75,4302
99,4302
99.25,4302
99.5,4302
99.75,4302
100,4302
100.25,4302
100.5,4302
100.75,4302
101,4302
101.25,4302
101.5,4302
101.75,4302
102,4302
102.25,4302
102.5,4302
102.75,4302
103,4302
103.25,4302
103.5,4302
103.75,4302
104,4302
104.25,4302
104.5,4302
104.75,4302
105,4302
105.25,4302
105.5,4302
105.75,4302
106,4302
106.25,4302
106.5,4302
106.75,4302
107,4302
107.25,4302
107.5,4302
107.75,4302
108,4302
108.25,4302
108.5,4302
108.75,4302
109,4302
109.25,4302
109.5,4302
109.75,4302
110,4302
110.25,4302
110.5,4302
110.75,4302
111,4302
111.25,4302
111.5,4302
111.75,4302
112,4302
112.25,4302
112.5,4302
112.75,4302
113,4302
113.25,4302
113.5,4302
113.75,4302
114,4302
114.25,4302
114.5,4302
114.75,4302
115,4302
115.25,4302
115.5,4302
115.75,4302
116,4302
116.25,4302
116.5,4302
116.75,4302
117,4302
117.25,4302
117.5,4302
117.75,4302
118,4302
118.25,4302
118.5,4302
118.75,4302
119,4302
119.25,4302
119.5,4302
119.75,4302
