Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
30,0
30.25,0
30.5,0
30.75,0
31,0
31.25,0
31.5,0
31.75,0
32,0
32.25,0
32.5,0
32.75,0
33,0
33.25,0
33.5,0
33.75,0
34,0
34.25,0
34.5,0
34.75,0
35,0
35.25,0
35.5,0
35.75,0
36,0
36.25,0
36.5,0
36.75,0
37,0
37.25,0
37.5,0
37.75,0
38,0
38.25,0
38.5,0
38.75,0
39,0
39.25,0
39.5,0
39.75,0
40,0
40.25,0
40.5,0
40.75,0
41,1
41.25,1
41.5,2
41.75,2
42,2
42.25,2
42.5,2
42.75,2
43,2
43.25,2
43.5,2
43.75,2
44,2
44.25,2
44.5,2
44.75,3
45,3
45.25,3
45.5,3
45.75,3
46,3
46.25,3
46.5,3
46.75,3
47,3
47.25,3
47.5,3
47.75,3
48,3
48.25,3
48.5,3
48.75,3
49,3
49.25,3
49.5,3
49.75,3
50,3
50.25,3
50.5,3
50.75,3
51,3
51.25,3
51.5,3
51.75,3
52,3
52.25,3
52.5,3
52.75,3
53,3
53.25,3
53.5,3
53.75,3
54,3
54.25,3
54.5,3
54.75,3
55,3
55.25,3
55.5,3
55.75,3
56,3
56.25,3
56.5,3
56.75,3
57,3
57.25,3
57.5,3
57.75,3
58,3
58.25,3
58.5,3
58.75,3
59,3
59.25,3
59.5,3
59.75,3
60,3
60.25,3
60.5,3
60.75,3
61,3
61.25,3
61.5,3
61.75,3
62,3
62.25,3
62.5,3
62.75,3
63,3
63.25,3
63.5,3
63.75,3
64,3
64.25,3
64.5,3
64.75,3
65,3
65.25,3
65.5,3
65.75,3
66,3
66.25,3
66.5,3
66.75,3
67,3
67.25,3
67.5,3
67.75,3
68,3
68.25,3
68.5,3
68.75,3
69,3
69.25,3
69.5,3
69.75,3
70,3
70.25,3
70.5,3
70.75,3
71,3
71.25,3
71.5,3
71.75,3
72,3
72.25,3
72.5,3
72.75,3
73,3
73.25,3
73.5,3
73.75,3
74,3
74.25,3
74.5,3
74.75,3
75,3
75.25,3
75.5,3
75.75,3
76,3
76.25,3
76.5,3
76.75,3
77,3
77.25,3
77.5,3
77.75,3
78,3
78.25,3
78.5,3
78.75,3
79,3
79.25,3
79.5,3
79.75,3
80,3
80.25,3
80.5,3
80.75,3
81,3
81.25,3
81.5,3
81.75,3
82,3
82.25,3
82.5,3
82.75,3
83,3
83.25,3
83.5,3
83.75,3
84,3
84.25,3
84.5,3
84.75,3
85,3
85.25,3
85.5,3
85.75,3
86,3
86.25,3
86.5,3
86.75,3
87,3
87.25,3
87.5,3
87.75,3
88,3
88.25,3
88.5,3
88.75,3
89,3
89.25,3
89.5,3
89.75,3
90,3
90.25,3
90.5,3
90.75,3
91,3
91.25,3
91.5,3
91.75,3
92,3
92.25,3
92.5,3
92.75,3
93,3
93.25,3
93.5,3
93.75,3
94,3
94.25,3
94.5,3
94.75,3
95,3
95.25,3
95.5,3
95.75,3
96,3
96.25,3
96.5,3
96.75,3
97,3
97.25,3
97.5,3
97.75,3
98,3
98.25,3
98.5,3
98.75,3
99,3
99.25,3
99.5,3
99.75,3
100,3
100.25,3
100.5,3
100.75,3
101,3
101.25,3
101.5,3
101.75,3
102,3
102.25,3
102.5,3
102.75,3
103,3
103.25,3
103.5,3
103.75,3
104,3
104.25,3
104.5,3
104.75,3
105,3
105.25,3
105.5,3
105.75,3
106,3
106.25,3
106.5,3
106.75,3
107,3
107.25,3
107.5,3
107.75,3
108,3
108.25,3
108.5,3
108.75,3
109,3
109.25,3
109.5,3
109.75,3
110,3
110.25,3
110.5,3
110.75,3
111,3
111.25,3
111.5,3
111.75,3
112,3
112.25,3
112.5,3
112.75,3
113,3
113.25,3
113.5,3
113.75,3
114,3
114.25,3
114.5,3
114.75,3
115,3
115.25,3
115.5,3
115.75,3
116,3
116.25,3
116.5,3
116.75,3
117,3
117.25,3
117.5,3
117.75,3
118,3
118.25,3
118.5,3
118.75,3
119,3
119.25,3
119.5,3
119.75,3
