Time,num_recovered
0,0
0.25,0
0.5,1
0.75,3
1,3
1.25,5
1.5,8
1.75,10
2,12
2.25,15
2.5,18
2.75,22
3,28
3.25,33
3.5,39
3.75,45
4,55
4.25,67
4.5,69
4.75,77
5,83
5.25,90
5.5,97
5.75,101
6,111
6.25,123
6.5,132
6.75,139
7,147
7.25,150
7.5,158
7.75,166
8,178
8.25,185
8.5,193
8.75,206
9,214
9.25,225
9.5,243
9.75,257
10,277
10.25,290
10.5,305
10.75,315
11,336
11.25,349
11.5,372
11.75,397
12,417
12.25,429
12.5,457
12.75,485
13,517
13.25,547
13.5,575
13.75,599
14,632
14.25,669
14.5,696
14.75,729
15,757
15.25,785
15.5,819
15.75,856
16,894
16.25,927
16.5,959
16.75,997
17,1041
17.25,1092
17.5,1137
17.75,1182
18,1213
18.25,1262
18.5,1316
18.75,1360
19,1401
19.25,1447
19.5,1486
19.75,1533
20,1573
20.25,1628
20.5,1682
20.75,1731
21,1770
21.25,1815
21.5,1861
21.75,1912
22,1963
22.25,1998
22.5,2047
22.75,2090
23,2144
23.25,2202
23.5,2249
23.75,2299
24,2352
24.25,2408
24.5,2460
24.75,2516
25,2557
25.25,2608
25.5,2657
25.75,2695
26,2748
26.25,2795
26.5,2836
26.75,2867
27,2915
27.25,2960
27.5,2999
27.75,3043
28,3083
28.25,3118
28.5,3157
28.75,3192
29,3241
29.25,3276
29.5,3313
29.75,3350
30,3388
30.25,3419
30.5,3454
30.75,3482
31,3515
31.25,3542
31.5,3571
31.75,3592
32,3623
32.25,3653
32.5,3673
32.75,3693
33,3716
33.25,3741
33.5,3761
33.75,3778
34,3801
34.25,3819
34.5,3841
34.75,3857
35,3875
35.25,3889
35.5,3903
35.75,3914
36,3931
36.25,3948
36.5,3962
36.75,3983
37,4000
37.25,4011
37.5,4020
37.75,4030
38,4043
38.25,4061
38.5,4066
38.75,4076
39,4084
39.25,4089
39.5,4097
39.75,4104
40,4112
40.25,4119
40.5,4122
40.75,4132
41,4139
41.25,4141
41.5,4150
41.75,4161
42,4167
42.25,4170
42.5,4172
42.75,4182
43,4186
43.25,4193
43.5,4200
43.75,4202
44,4206
44.25,4212
44.5,4219
44.75,4219
45,4223
45.25,4231
45.5,4235
45.75,4239
46,4241
46.25,4244
46.5,4245
46.75,4248
47,4252
47.25,4259
47.5,4262
47.75,4264
48,4266
48.25,4268
48.5,4270
48.75,4273
49,4275
49.25,4278
49.5,4280
49.75,4283
50,4283
50.25,4284
50.5,4288
50.75,4289
51,4291
51.25,4294
51.5,4295
51.75,4295
52,4297
52.25,4298
52.5,4299
52.75,4299
53,4299
53.25,4300
53.5,4301
53.75,4301
54,4303
54.25,4307
54.5,4307
54.75,4307
55,4307
55.25,4307
55.5,4307
55.75,4309
56,4309
56.25,4311
56.5,4312
56.75,4312
57,4313
57.25,4314
57.5,4314
57.75,4314
58,4314
58.25,4314
58.5,4314
58.75,4314
59,4314
59.25,4314
59.5,4314
59.75,4314
60,4314
60.25,4314
60.5,4314
60.75,4314
61,4314
61.25,4314
61.5,4314
61.75,4314
62,4316
62.25,4316
62.5,4316
62.75,4316
63,4316
63.25,4316
63.5,4317
63.75,4317
64,4317
64.25,4317
64.5,4317
64.75,4317
65,4317
65.25,4317
65.5,4317
65.75,4317
66,4317
66.25,4317
66.5,4317
66.75,4317
67,4317
67.25,4317
67.5,4317
67.75,4317
68,4317
68.25,4318
68.5,4318
68.75,4318
69,4319
69.25,4319
69.5,4319
69.75,4319
70,4319
70.25,4319
70.5,4319
70.75,4319
71,4319
71.25,4319
71.5,4319
71.75,4319
72,4319
72.25,4319
72.5,4319
72.75,4319
73,4319
73.25,4319
73.5,4319
73.75,4319
74,4319
74.25,4319
74.5,4319
74.75,4319
75,4319
75.25,4319
75.5,4319
75.75,4319
76,4319
76.25,4319
76.5,4319
76.75,4319
77,4319
77.25,4319
77.5,4319
77.75,4319
78,4319
78.25,4319
78.5,4319
78.75,4319
79,4319
79.25,4319
79.5,4319
79.75,4319
80,4319
80.25,4319
80.5,4319
80.75,4319
81,4319
81.25,4319
81.5,4319
81.75,4319
82,4319
82.25,4319
82.5,4319
82.75,4319
